device_name,attribute,unit,bmad_ele_name,bmad_factor,bmad_attribute,example_value
QUAD:IN20:121,BDES,kG,CQ01,0,b1_gradient,0
QUAD:IN20:122,BDES,kG,SQ01,0,b1_gradient,0
QUAD:IN20:361,BDES,kG,QA01,0,b1_gradient,0
QUAD:IN20:371,BDES,kG,QA02,0,b1_gradient,0
QUAD:IN20:425,BDES,kG,QE01,0,b1_gradient,0
QUAD:IN20:441,BDES,kG,QE02,0,b1_gradient,0
QUAD:IN20:511,BDES,kG,QE03,0,b1_gradient,0
QUAD:IN20:525,BDES,kG,QE04,0,b1_gradient,0
QUAD:LI21:211,BDES,kG,QM11,-1/(10.0*0.108),b1_gradient,0
QUAD:LI21:221,BDES,kG,CQ11,-1/(10.0*0.108),b1_gradient,0
QUAD:LI21:243,BDES,kG,SQ13,-1/(10.0*0.160),b1_gradient,0
QUAD:LI21:251,BDES,kG,CQ12,-1/(10.0*0.108),b1_gradient,0
QUAD:LI21:271,BDES,kG,QM12,-1/(10.0*0.108),b1_gradient,0
QUAD:LI21:335,BDES,kG,QM15,-1/(10.0*0.108),b1_gradient,0
QUAD:LI24:713,BDES,kG,QM21,-1/(10.0*0.461),b1_gradient,0
QUAD:LI24:740,BDES,kG,CQ21,-1/(10.0*0.108),b1_gradient,0
QUAD:LI24:860,BDES,kG,CQ22,-1/(10.0*0.108),b1_gradient,0
QUAD:LI24:892,BDES,kG,QM22,-1/(10.0*0.461),b1_gradient,0
QUAD:LI24:902,BDES,kG,Q24901B,-1/(10.0*0.107),b1_gradient,0
QUAD:CLTH:140,BDES,kG,Q50Q1,-1/(10.0*0.263),b1_gradient,0
QUAD:CLTH:170,BDES,kG,Q50Q2,-1/(10.0*0.324),b1_gradient,0
QUAD:CLTS:420,BDES,kG,QCUS1,-1/(10.0*0.263),b1_gradient,0
QUAD:CLTS:450,BDES,kG,QCUS2,-1/(10.0*0.263),b1_gradient,0
QUAD:CLTS:470,BDES,kG,QCUS3,-1/(10.0*0.263),b1_gradient,0
QUAD:CLTS:530,BDES,kG,QCUS6,-1/(10.0*0.107),b1_gradient,0
QUAD:CLTS:570,BDES,kG,QCUS8,-1/(10.0*0.263),b1_gradient,0
QUAD:CLTS:590,BDES,kG,QCUS9,-1/(10.0*0.263),b1_gradient,0
QUAD:CLTS:620,BDES,kG,QCUS10,-1/(10.0*0.263),b1_gradient,0
QUAD:BSYS:820,BDES,kG,QBP33,-1/(10.0*0.124),b1_gradient,0
QUAD:BSYS:865,BDES,kG,QBP34,-1/(10.0*0.124),b1_gradient,0
QUAD:LTUS:150,BDES,kG,QDL11,-1/(10.0*0.263),b1_gradient,0
QUAD:LTUS:180,BDES,kG,QDL12,-1/(10.0*0.263),b1_gradient,0
QUAD:LTUS:235,BDES,kG,QDL13,-1/(10.0*0.263),b1_gradient,0
QUAD:LTUS:270,BDES,kG,QDL14,-1/(10.0*0.263),b1_gradient,0
QUAD:LTUS:300,BDES,kG,QDL15,-1/(10.0*0.263),b1_gradient,0
QUAD:LTUS:345,BDES,kG,QDL16,-1/(10.0*0.263),b1_gradient,0
QUAD:LTUS:370,BDES,kG,QDL17,-1/(10.0*0.263),b1_gradient,0
QUAD:LTUS:430,BDES,kG,QDL18,-1/(10.0*0.263),b1_gradient,0
QUAD:LTUS:450,BDES,kG,QDL19,-1/(10.0*0.263),b1_gradient,0
QUAD:LTUS:665,BDES,kG,QEM3VB,-1/(10.0*0.108),b1_gradient,0
QUAD:DMPS:300,BDES,kG,QUE1B,-1/(10.0*0.263),b1_gradient,0
QUAD:DMPS:380,BDES,kG,QUE2B,-1/(10.0*0.263),b1_gradient,0
QUAD:DMPS:500,BDES,kG,QDMP1B,-1/(10.0*0.430),b1_gradient,0
QUAD:DMPS:600,BDES,kG,QDMP2B,-1/(10.0*0.430),b1_gradient,0
QUAD:CLTS:500,BDES,kG,QCUS4,-1/(10.0*0.107),b1_gradient,0
QUAD:CLTS:510,BDES,kG,QCUS5,-1/(10.0*0.107),b1_gradient,0
QUAD:CLTS:540,BDES,kG,QCUS7,-1/(10.0*0.107),b1_gradient,0
QUAD:LTUS:110,BDES,kG,QDBL1,-1/(10.0*0.107),b1_gradient,0
QUAD:LTUS:120,BDES,kG,QDBL2,-1/(10.0*0.107),b1_gradient,0
QUAD:LTUS:470,BDES,kG,QDL20,-1/(10.0*0.107),b1_gradient,0
QUAD:LTUS:500,BDES,kG,QDL21,-1/(10.0*0.107),b1_gradient,0
QUAD:LTUS:510,BDES,kG,QDL22,-1/(10.0*0.107),b1_gradient,0
QUAD:LTUS:540,BDES,kG,QVB1B,-1/(10.0*0.107),b1_gradient,0
