"Element","Type","Device Name","Engineering Name","Component Name","Component Comments","Slc Name","Symbols Upload Id","Ltu Upload Id","Und Upload Id","First Sourced From","Active","Beamline","Sector","Sector Location","Undulator Cell","Area","Keyword","Barcode","SumL (m)","SumL (ft)","Linac Z (m)","Linac Z (ft)","Ltu SumL (m)","Ltu SumL (ft)","Ltu Linac Z (m)","Ltu Linac Z (ft)","Und Suml M","Und Suml Ft","Und Linacz M","Und Linacz Ft","Local Area Drawing","Irmis Ioc Names","Element Comment","Sections","Begin Dbmark","Begin SumL (m)","End Dbmark","End SumL (m)","Bsa Device","Obstruction","Effective Length (m)","Rf Frequency (MHz)","Rf Amplitude (MeV)","Rf Phase (deg)","Rf Gradient (MeV/m)","Rf Power Fraction","Z Length (m)","Fringe Field Integral","Integrated Field BL (kG-m)","Field B (T)","Integrated Field Grad GL (kG)","Field Gradient G (T/m)","Xal Scale Name","Xal Scale Value","Xal Polarity","Solid Edge Ycoor M","Solid Edge Zcoor M","Solid Edge X Angle","Solid Edge Y Angle","Solid Edge Z Angle","Magnet X Coor (m)","Magnet Y Coor (m)","Magnet Z Coor (m)","Magnet X Angle (rad)","Magnet Y Angle (rad)","Magnet Z Angle (rad)","Solenoid Strength KS (1/m)","Undulator Period Length (m)","Undulator Strength K","X Size (m)","Y Size (m)","Section","Dist From Section Start (m)","Xal Keyword","S Display","Ltu Rf Frequency (MHz)","Ltu Rf Amplitude (MeV)","Ltu Rf Phase (deg)","Ltu Rf Gradient (MeV/m)","Ltu Rf Power Fraction","Ltu Z Length (m)","Ltu Fringe Field Integral","Ltu Integrated Field BL (kG-m)","Ltu Field B (T)","Ltu Integrated Field Grad GL (kG)","Ltu Field Gradient G (T/m)","Ltu Xal Scale Name","Ltu Xal Scale Value","Ltu Xal Polarity","Ltu Magnet X Coor","Ltu Magnet Y Coor","Ltu Magnet Z Coor","Ltu Magnet X Angle","Ltu Magnet Y Angle","Ltu Magnet Z Angle","Ltu Solenoid Strength Ks","Ltu Undulator Period Length","Ltu Undulator Strength K","Ltu X Size","Ltu Y Size","Ltu Section","Ltu Dist From Section Start","Ltu Xal Keyword","Ltu S Display","Ioc Captar Search","Slc Captar Search"
"XC02B","MAD","XCOR:GUNB:388","LBNL-XY","","","","589","","","SYMBOLS","A","LCLS2scS","S00","","","GUNB","XCOR","",".673744","2.210446","-9.370923","-30.744498","","","","","","","","","","","","- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","",".28","-.99","0","0","0","","","","","","","","","","","","CATHODE TO DIAG0",".673744","XCOR","-9.370923","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","XCOR:GUNB%25","XCOR:%25"
"YC02B","MAD","YCOR:GUNB:388","LBNL-XY","","","","589","","","SYMBOLS","A","LCLS2scS","S00","","","GUNB","YCOR","",".673744","2.210446","-9.370923","-30.744498","","","","","","","","","","","","- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","",".28","-.99","0","0","0","","","","","","","","","","","","CATHODE TO DIAG0",".673744","YCOR","-9.370923","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YCOR:GUNB%25","YCOR:%25"
"BUN1B","MAD","ACCL:GUNB:455","LBNL","","","","589","","","SYMBOLS","A","LCLS2scS","S00","","","GUNB","LCAV","",".80988","2.657087","-9.234787","-30.297858","","","","","","","","","","","","- NO SECTION -","","","","","N","N",".21876","1300","0","0","0","1","","","","","","","","","",".28","-.99","0","0","0","","","","","","","","","","","","CATHODE TO DIAG0",".80988","BNCH","-9.234787","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACCL:GUNB%25","ACCL:%25"
"XC03B","MAD","XCOR:GUNB:513","LBNL-XY","","","","589","","","SYMBOLS","A","LCLS2scS","S00","","","GUNB","XCOR","",".965171","3.166572","-9.079496","-29.788373","","","","","","","","","","","","- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","",".28","-.99","0","0","0","","","","","","","","","","","","CATHODE TO DIAG0",".965171","XCOR","-9.079496","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","XCOR:GUNB%25","XCOR:%25"
"YC03B","MAD","YCOR:GUNB:513","LBNL-XY","","","","589","","","SYMBOLS","A","LCLS2scS","S00","","","GUNB","YCOR","",".965171","3.166572","-9.079496","-29.788373","","","","","","","","","","","","- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","",".28","-.99","0","0","0","","","","","","","","","","","","CATHODE TO DIAG0",".965171","YCOR","-9.079496","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YCOR:GUNB%25","YCOR:%25"
"XC04B","MAD","XCOR:GUNB:713","LBNL-XY","","","","589","","","SYMBOLS","A","LCLS2scS","S00","","","GUNB","XCOR","","1.368809","4.490843","-8.675858","-28.464101","","","","","","","","","","","","- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","",".28","-.99","0","0","0","","","","","","","","","","","","CATHODE TO DIAG0","1.368809","XCOR","-8.675858","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","XCOR:GUNB%25","XCOR:%25"
"YC04B","MAD","YCOR:GUNB:713","LBNL-XY","","","","589","","","SYMBOLS","A","LCLS2scS","S00","","","GUNB","YCOR","","1.368809","4.490843","-8.675858","-28.464101","","","","","","","","","","","","- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","",".28","-.99","0","0","0","","","","","","","","","","","","CATHODE TO DIAG0","1.368809","YCOR","-8.675858","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YCOR:GUNB%25","YCOR:%25"
"YAG01B","MAD","YAGS:GUNB:753","YAG INJ","","","","589","","","SYMBOLS","A","LCLS2scS","S00","","","GUNB","PROF","","1.492121","4.89541","-8.552546","-28.059534","","","","","","","","","","","","- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","",".28","-.99","0","0","0","","","","","","","","","","","","CATHODE TO DIAG0","1.492121","PROF","-8.552546","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YAGS:GUNB%25","YAGS:%25"
"CQ02B","MAD","QUAD:GUNB:823:1","SOLENOID TRIM","","","","589","","","SYMBOLS","A","LCLS2scS","S00","","","GUNB","QUAD","","1.651288","5.417612","-8.393379","-27.537333","","","","","","","","","","","","- NO SECTION -","","","","","N","N","0","","","","","","","","","","0","0","KG2T",".1","-1",".28","-.99","0","0","0","","","","","","","","","","","","CATHODE TO DIAG0","1.651288","QUAD","-8.393379","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","QUAD:GUNB%25","QUAD:%25"
"SOL2B","MAD","SOLN:GUNB:823","LBNL","","","","589","","","SYMBOLS","A","LCLS2scS","S00","","","GUNB","SOLE","","1.651288","5.417612","-8.393379","-27.537333","","","","","","","","","","","","- NO SECTION -","","","","","N","N",".17412","","","","","","","","0","0","","","KG2T_BDL2B",".57431656329","-1",".28","-.99","0","0","0","","","","","","","0","","","","","CATHODE TO DIAG0","1.651288","SOLE","-8.393379","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOLN:GUNB%25","SOLN:%25"
"SQ02B","MAD","QUAD:GUNB:823:2","SOLENOID TRIM","","","","589","","","SYMBOLS","A","LCLS2scS","S00","","","GUNB","QUAD","","1.651288","5.417612","-8.393379","-27.537333","","","","","","","","","","","","- NO SECTION -","","","","","N","N","0","","","","","","","","","","0","0","KG2T",".1","-1",".28","-.99","0","0","0","","","","","","","","","","","","CATHODE TO DIAG0","1.651288","QUAD","-8.393379","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","QUAD:GUNB%25","QUAD:%25"
"VV02B","MAD","","","","","","589","","","SYMBOLS","A","LCLS2scS","S00","","","GUNB","INST","","1.78278","5.849016","-8.261887","-27.105928","","","","","","","","","","","","- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","",".28","-.99","0","0","0","","","","","","","","","","","","CATHODE TO DIAG0","1.78278","INST","-8.261887","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","%25","%25"
"BPM2B","MAD","BPMS:GUNB:925","STRIPLINE-4","","","","589","","","SYMBOLS","A","LCLS2scS","S00","","","GUNB","BPM","","1.884138","6.181555","-8.160529","-26.773389","","","","","","","","","","","","- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","",".28","-.99","0","0","0","","","","","","","","","","","","CATHODE TO DIAG0","1.884138","BPM","-8.160529","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BPMS:GUNB%25","BPMS:%25"
"XC05B","MAD","XCOR:GUNB:927","LBNL-XY","","","","589","","","SYMBOLS","A","LCLS2scS","S00","","","GUNB","XCOR","","1.888757","6.196709","-8.15591","-26.758235","","","","","","","","","","","","- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","",".28","-.99","0","0","0","","","","","","","","","","","","CATHODE TO DIAG0","1.888757","XCOR","-8.15591","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","XCOR:GUNB%25","XCOR:%25"
"YC05B","MAD","YCOR:GUNB:927","LBNL-XY","","","","589","","","SYMBOLS","A","LCLS2scS","S00","","","GUNB","YCOR","","1.888757","6.196709","-8.15591","-26.758235","","","","","","","","","","","","- NO SECTION -","","","","","N","N","0","","","","","","","","","","","","","","",".28","-.99","0","0","0","","","","","","","","","","","","CATHODE TO DIAG0","1.888757","YCOR","-8.15591","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YCOR:GUNB%25","YCOR:%25"
